gene	vegrepl1-mrna-Jan2017-rpkm	0hr mrna rpkm	1.5 hr mrna rpkm	3hr mrna rpkm	4.5hr mrna rpkm	6hr mrna rpkm	8hr mrna rpkm	10hr mrna rpkm	spore mrna rpkm	MATa/a mrna rpkm
YBL036C	778.3795557	462.5955918	350.9285839	504.675065	402.7802501	310.4894149	273.005692	272.3992799	428.2488151	547.0645305
YBL037W	60.99217042	239.8187675	87.59483836	87.85155166	50.2863224	31.93927334	37.93705006	58.03239187	51.03627037	66.0066528
YBL038W	730.2380166	966.3611526	182.5627874	304.3279285	278.8321683	384.1572092	505.2787608	285.2040852	352.6259954	740.5147673
YBL039C	808.9265588	246.7511704	77.27895412	59.95576178	29.99119128	27.00076385	53.2431255	106.7297431	289.332005	388.1129774
YBL039C-A	1139.73787	319.1239155	65.33244913	67.6919891	20.28389749	40.33650696	59.63230056	112.2703581	380.878991	581.2560637
YBL039W-B	150.1772252	1268.517564	407.6744826	511.7514376	371.195324	440.2441617	790.7243054	575.6407453	1159.776528	304.5781774
YBL040C	972.3975333	997.2622359	640.7806611	865.3743887	435.900957	283.5080204	216.3459864	429.4851518	405.6361254	586.8361219
YBL041W	877.9665966	3142.364321	1202.117064	1879.519914	1823.906133	1082.700372	500.9113247	712.0570461	822.1496058	1273.945722
YBL042C	121.1106655	234.1957767	56.14375629	49.87371068	118.889812	138.7427134	308.7029546	239.1589095	247.9399367	77.25080588
YBL043W	56.33899505	535.0018583	1188.062352	1290.812283	809.1400115	397.6511347	346.9697891	506.7175522	693.2637769	42.20212092
YBL044W	6.188621918	3.068499187	0	4.686368476	6.241199226	1.329774955	5.963230056	2.355322198	2.197378794	3.576960392
YBL045C	1771.660221	4410.904531	2032.644637	1773.221019	1306.320046	826.7273639	982.9799315	1233.34278	642.7985163	1109.854044
YBL046W	187.9081953	488.6816339	275.2754701	286.0968152	243.2185202	148.3506401	128.5069159	163.1128932	219.3368111	150.1825412
YBL047C	137.2765385	854.0430778	310.5258023	301.6617453	168.7644099	84.98843632	53.52020866	137.4041708	174.8911314	109.0473931
YBL048W	12.77017221	2290.853822	562.4812763	1153.987243	725.87376	519.1610284	427.0808573	728.0562618	1512.633707	5.535772035
YBL049W	15.32420665	2968.656928	940.7872675	1193.199297	1146.807246	1060.273897	952.1123618	844.643611	2222.540936	28.91626804
YBL050W	540.2765167	2701.448237	439.9530201	767.8701533	1003.347076	1202.960861	1062.459743	944.5215877	535.183813	470.7961201
YBL051C	103.6331942	458.7713608	159.4554691	118.4870564	113.3272917	113.6489741	140.9858274	190.7290802	103.406592	68.3535636
YBL052C	119.8194434	49.51922827	72.60591391	95.56908412	93.42583325	68.06962963	93.5903988	84.56728274	139.030213	84.98364517
YBL053W	1.021613777	3.039275386	0.995542082	2.062993954	1.159079856	1.756147242	0.454341338	1.555260372	2.90193517	2.657170577
YBL054W	139.2806846	469.2256781	93.58292318	139.8789403	110.3187468	82.08513331	69.29603306	102.7901087	262.5505772	97.04449063
YBL055C	268.8457308	667.8407755	109.2476443	137.4876891	73.4083909	55.11067332	66.11862097	97.20377327	120.8503265	165.2573631
YBL056W	818.0191205	1589.222884	535.6969816	850.1752003	805.2120018	461.7073416	525.8267358	613.0202507	232.7688088	410.322766
YBL057C	740.984331	525.3270609	249.8044824	361.3016526	564.82853	467.3715708	358.8947073	257.515227	279.3112601	776.438869
YBL058W	441.7912022	2351.273491	693.2660084	921.6807524	552.9240204	311.8787417	232.0506313	332.4513051	493.543937	403.9227322
YBL059C-A	572.1037151	833.2680016	156.7978779	379.6768455	337.6142048	289.9106405	292.5958214	233.1594508	319.0919547	736.7743527
YBL059W	107.8859377	181.5705036	125.558454	126.6696072	140.3552447	136.7069793	137.6340914	106.9911877	90.1851404	160.8809887
